NAME_name2,Buffer_Size,Metrics,KdPAR,StreamOrde,CLASS,Interface,Kd490
Ahuriri Estuary_Main Outfall (Napier),1000,valid_days_pc,5.505341002465078,5,7. Tidal lagoon,Tidal river mouths,NA
Ahuriri Estuary_Main Outfall (Napier),1000,var,0.11822833721096267,5,7. Tidal lagoon,Tidal river mouths,NA
Ahuriri Estuary_Main Outfall (Napier),1000,mean,0.4327932975037181,5,7. Tidal lagoon,Tidal river mouths,NA
Ahuriri Estuary_Main Outfall (Napier),1000,median,0.30479177832603455,5,7. Tidal lagoon,Tidal river mouths,NA
Ahuriri Estuary_Main Outfall (Napier),1000,percentile5,0.19924712181091309,5,7. Tidal lagoon,Tidal river mouths,NA
Ahuriri Estuary_Main Outfall (Napier),1000,percentile10,0.2120118588209152,5,7. Tidal lagoon,Tidal river mouths,NA
Ahuriri Estuary_Main Outfall (Napier),1000,percentile90,0.9139137864112854,5,7. Tidal lagoon,Tidal river mouths,NA
Ahuriri Estuary_Main Outfall (Napier),1000,percentile95,1.1631842851638794,5,7. Tidal lagoon,Tidal river mouths,NA
Akatore Creek_Akatore Creek,1000,valid_days_pc,18.296357162421256,5,7. Tidal lagoon,Tidal river mouths,NA
Akatore Creek_Akatore Creek,1000,var,0.04751294727338557,5,7. Tidal lagoon,Tidal river mouths,NA
Akatore Creek_Akatore Creek,1000,mean,0.2575667426659318,5,7. Tidal lagoon,Tidal river mouths,NA
Akatore Creek_Akatore Creek,1000,median,0.2046171799302101,5,7. Tidal lagoon,Tidal river mouths,NA
Akatore Creek_Akatore Creek,1000,percentile5,0.12138048447668554,5,7. Tidal lagoon,Tidal river mouths,NA
Akatore Creek_Akatore Creek,1000,percentile10,0.13234828412532806,5,7. Tidal lagoon,Tidal river mouths,NA
Akatore Creek_Akatore Creek,1000,percentile90,0.43697613179683725,5,7. Tidal lagoon,Tidal river mouths,NA
Akatore Creek_Akatore Creek,1000,percentile95,0.5519716829061508,5,7. Tidal lagoon,Tidal river mouths,NA
Akitio River_Akitio River,1000,valid_days_pc,21.857025472473296,6,6. Tidal river mouth,Tidal river mouths,NA
Akitio River_Akitio River,1000,var,0.08095883072117319,6,6. Tidal river mouth,Tidal river mouths,NA
Akitio River_Akitio River,1000,mean,0.29233994840044425,6,6. Tidal river mouth,Tidal river mouths,NA
Akitio River_Akitio River,1000,median,0.20184089243412015,6,6. Tidal river mouth,Tidal river mouths,NA
Akitio River_Akitio River,1000,percentile5,0.12817184180021285,6,6. Tidal river mouth,Tidal river mouths,NA
