OBJECTID,CATAREA,CUM_AREA,nzsegment,LENGTHDOWN,Headwater,Hydseq,StreamOrde,euclid_dis,upElev,downElev,upcoordX,downcoordX,downcoordY,upcoordY,sinuosity,nzreach_re,headw_dist,segslpmean,LID,reachtype,FROM_NODE,TO_NODE,Shape_Leng,Shape_Le_1,FLOWDIR,REGC2017,REGC2017_N,AREA_SQ_KM,LAND_SQ_KM,BioR__OBJE,BioR__BioR,BioR__Hect,BioR__Glob,BioR__Bi_1,BioR__SHAP,BioR__SH_1,EcoD_OBJEC,EcoD_ECOLO,EcoD_ECO_1,EcoD_ECO_2,EcoD_SHAPE,EcoD_SHA_1,name_2,RID,NAME,REG_COUNCL,CLASS,SUBCLASS,NZTM_N,NZTM_E,WIDTH_OF_M,SHLN_PERIM,SURFC_AREA,INTRTDL_AR,MEAN_DEPTH,TOTAL_VOL,TDAL_RANGE,TDAL_PRISM,CATCHMT_AR,R_INFL_VOL,n,distance,feature_x,feature_y,nearest_x,nearest_y
"2919",179829.428772050654516,100094104.000000000000000,"1002974",0.000000000000000,"0","5428","5",47.434164902500001,7.257469177250000,2.671442508700000,1643933.618800000054762,1643888.681700000073761,6124541.772499999962747,6124556.889700000174344,1.079158609410000,"1002774","27327",5.522304885460000,"0","0","3405","3406",51.188987434600001,51.188987434584959,"1","01",Northland Region,30084.25666220000,12500.31973910000,"416",North Eastern,"3809993",{2399417F-F307-441B-9243-D0AE87325049},North Eastern,6140862.133905312046409,38099933256.712272644042969,"1051","5.01",Maungataniwha,Western Northland,186731.942798262694851,-980998575.285339832305908,Oruru River,"1",Taipa River,NRC,7. Tidal lagoon,7A. Permanently open,6127651.834999999962747,1642996.294999999925494,104.000000000000000,23568.000000000000000,1546947.999999999767169,52.000000000000000,2.000000000000000,3706197.000000000000000,2.000000000000000,2234740.000000000000000,126.000000000000000,292069.000000000000000,"1",3235.559164224345295,1643888.681700000073761,6124541.772499999962747,1642996.295104980468750,6127651.835083007812500
"3868",83628.335945288301446,114092456.000000000000000,"1003923",0.000000000000000,"0","6204","5",75.000000000000000,3.185401439670000,0.000000000000000,1668869.329699999885634,1668794.361999999964610,6118387.606999999843538,6118387.809700000099838,0.999572987103000,"1003594","25394",2.432006676950000,"0","0","4435","4436",74.967974032699999,74.967974032704547,"1","01",Northland Region,30084.25666220000,12500.31973910000,"416",North Eastern,"3809993",{2399417F-F307-441B-9243-D0AE87325049},North Eastern,6140862.133905312046409,38099933256.712272644042969,"1050","3.01",Whangaroa,Western Northland,134974.542002966889413,-337668162.697240531444550,Kaeo River,"2",Whangaroa Harbour,NRC,9. Deep drowned valley,,6125865.728000000119209,1669194.387999999802560,297.000000000000000,103346.000000000000000,25401380.000000000000000,32.000000000000000,4.000000000000000,109346708.000000000000000,1.900000000000000,41307851.000000000000000,256.000000000000000,697867.000000000000000,"1",7488.812717059291572,1668794.361999999964610,6118387.606999999843538,1669194.388122558593750,6125865.728088378906250
"4364",397482.391473970259540,66053828.000000000000000,"1004393",0.000000000000000,"0","4729","5",405.132077229000004,16.841577529900000,2.910977363590000,1684171.735000000335276,1684485.925700000021607,6115416.049999999813735,6115160.309899999760091,1.037825632590000,"1004056","18624",1.969359076950000,"0","0","4945","4946",420.456454333000011,420.456454332860346,"1","01",Northland Region,30084.25666220000,12500.31973910000,"416",North Eastern,"3809993",{2399417F-F307-441B-9243-D0AE87325049},North Eastern,6140862.133905312046409,38099933256.712272644042969,"1052","3.02",Kerikeri,Eastern Northland,330019.347415063995868,-665865615.772764205932617,Takou River,"3",Takou River,NRC,7. Tidal lagoon,7A. Permanently open,6115453.106999998912215,1685867.648000000044703,616.000000000000000,9495.000000000000000,589550.000000000000000,57.000000000000000,2.000000000000000,1064981.000000000000000,1.900000000000000,811887.000000000000000,73.000000000000000,175315.000000000000000,"1",1382.219208815549337,1684485.925700000021607,6115416.049999999813735,1685867.648071289062500,6115453.107116699218750
"6887",1296745.744615604635328,99360560.000000000000000,"1006886",0.000000000000000,"0","7952","5",1035.113520339999923,37.893459320100000,3.766536951070000,1686604.683500000042841,1687639.140399999916553,6102469.611200000159442,6102421.891800000332296,1.477248769170000,"1006289","24775",1.888315899000000,"0","0","7589","7590",1529.120173880000038,1529.120173881590745,"1","01",Northland Region,30084.25666220000,12500.31973910000,"416",North Eastern,"3809993",{2399417F-F307-441B-9243-D0AE87325049},North Eastern,6140862.133905312046409,38099933256.712272644042969,"1052","3.02",Kerikeri,Eastern Northland,330019.347415063995868,-665865615.772764205932617,Kerikeri River,"4",Te Puna /Kerikeri Inlet System,NRC,9. Deep drowned valley,,6103988.265999999828637,1697362.746000000042841,1910.000000000000000,136250.000000000000000,35776929.000000000000000,11.000000000000000,5.000000000000000,175541487.000000000000000,1.900000000000000,64786580.000000007450581,258.000000000000000,711342.000000000116415,"1",9841.484666104084681,1687639.140399999916553,6102469.611200000159442,1697362.746093750000000,6103988.266113281250000
"7725",114183.494177817978198,148221200.000000000000000,"1007803",0.000000000000000,"0","7776","5",80.777472106999994,7.850646972660000,2.153864383700000,1649042.033400000073016,1649117.075399999972433,6098513.771999999880791,6098543.555399999953806,1.081760416330000,"1006840","20517",4.034072571610001,"0","0","8447","8454",87.381871856299995,87.381871856321226,"1","01",Northland Region,30084.25666220000,12500.31973910000,"415",Western North Island,"1457231",{FA1D5DC5-E5DF-4C1D-B636-BDCD9EC4AB7D},Western North Island,3273685.956958715338260,14572310124.708490371704102,"1056","5.03",Hokianga,Western Northland,243495.514311923878267,-863588897.533495187759399,Pakahau Stream,"5",Taipa River,NRC,7. Tidal lagoon,7A. Permanently open,6127651.834999999962747,1642996.294999999925494,104.000000000000000,23568.000000000000000,1546947.999999999767169,52.000000000000000,2.000000000000000,3706197.000000000000000,2.000000000000000,2234740.000000000000000,126.000000000000000,292069.000000000000000,"1",29773.993209666194161,1649117.075399999972433,6098513.771999999880791,1642996.295104980468750,6127651.835083007812500
"8372",67447.109547089872649,300887072.000000000000000,"1008441",0.000000000000000,"0","11729","5",135.830777071999989,11.601414680500000,3.958426237110000,1695469.131100000115111,1695604.117099999915808,6095593.324500000104308,6095607.964499999769032,1.039218634710000,"1007669","37362",3.220550306010000,"0","0","9167","9168",141.157874700000008,141.157874700035762,"1","01",Northland Region,30084.25666220000,12500.31973910000,"416",North Eastern,"3809993",{2399417F-F307-441B-9243-D0AE87325049},North Eastern,6140862.133905312046409,38099933256.712272644042969,"1052","3.02",Kerikeri,Eastern Northland,330019.347415063995868,-665865615.772764205932617,Waitangi River,"6",Opua Inlet System,NRC,9. Deep drowned valley,,6099497.872000000439584,1699962.632999999914318,3756.000000000000000,235777.000000000000000,52132097.000000007450581,20.000000000000000,4.000000000000000,201871822.000000000000000,1.900000000000000,90004189.000000000000000,953.000000000000000,2450404.000000000000000,"1",5851.679554210869355,1695604.117099999915808,6095593.324500000104308,1699962.633117675781250,6099497.872070312500000
"9446",458542.533289469894953,279466272.000000000000000,"1009480",0.000000000000000,"0","9588","5",593.998316496000029,9.201856613160000,1.668632745740000,1657097.951600000029430,1656512.966699999989942,6091172.190200000070035,6091068.792999999597669,1.296209766250000,"1008535","37336",0.726599617806000,"0","0","10290","10330",769.946418977000008,769.946418976917357,"1","01",Northland Region,30084.25666220000,12500.31973910000,"415",Western North Island,"1457231",{FA1D5DC5-E5DF-4C1D-B636-BDCD9EC4AB7D},Western North Island,3273685.956958715338260,14572310124.708490371704102,"1056","5.03",Hokianga,Western Northland,243495.514311923878267,-863588897.533495187759399,Waihou River (Northland),"7",Hokianga Harbour System,NRC,8. Shallow drowned valley,,6068288.910000000149012,1632830.578999999910593,1466.000000000000000,340748.000000000000000,106497969.000000000000000,49.000000000000000,5.000000000000000,482972423.000000000000000,2.700000000000000,216172096.000000000000000,1605.000000000000000,4274573.000000000000000,"1",32931.747459202422760,1656512.966699999989942,6091172.190200000070035,1632830.579101562500000,6068288.910095214843750
"9594",397321.952523441228550,197935920.000000000000000,"1009621",0.000000000000000,"0","10679","5",347.794479541999976,12.670190811199999,0.000000000000000,1625167.955300000030547,1624823.042399999918416,6090127.949799999594688,6090083.907999999821186,1.934034900590000,"1008661","46359",2.086369590510000,"0","0","10498","10499",672.646661666999989,672.646661666624141,"1","01",Northland Region,30084.25666220000,12500.31973910000,"415",Western North Island,"1457231",{FA1D5DC5-E5DF-4C1D-B636-BDCD9EC4AB7D},Western North Island,3273685.956958715338260,14572310124.708490371704102,"1056","5.03",Hokianga,Western Northland,243495.514311923878267,-863588897.533495187759399,Rotokakahi River,"8",Whangapae Harbour System,NRC,8. Shallow drowned valley,,6084767.671999999321997,1619705.033000000054017,515.000000000000000,56607.000000000000000,10133520.000000000000000,67.000000000000000,2.000000000000000,24626719.000000000000000,2.700000000000000,17954810.000000000000000,301.000000000000000,681195.000000000000000,"1",7411.247951912352619,1624823.042399999918416,6090127.949799999594688,1619705.033081054454669,6084767.672119140625000
"16398",43148.012405298213707,133087919.999999985098839,"1016488",0.000000000000000,"0","16535","5",45.000000000000000,4.424015045170000,0.000000000000000,1637356.628899999661371,1637311.656200000084937,6061303.235299999825656,6061303.351200000382960,0.999396652080000,"1015042","32967",5.614790059660000,"0","0","17636","17637",44.972849343599997,44.972849343609234,"1","01",Northland Region,30084.25666220000,12500.31973910000,"415",Western North Island,"1457231",{FA1D5DC5-E5DF-4C1D-B636-BDCD9EC4AB7D},Western North Island,3273685.956958715338260,14572310124.708490371704102,"1060","5.04",Tutamoe,Western Northland,206261.569176885124762,-817197507.869342207908630,Waimamaku River,"9",Waimaukau River,NRC,6. Tidal river mouth,6B. Spit enclosed,6061245.649000000208616,1637216.196999999927357,238.000000000000000,6634.000000000000000,230951.000000000000000,32.000000000000000,3.000000000000000,678376.000000000000000,2.700000000000000,521306.000000000000000,132.000000000000000,387890.000000000000000,"1",111.483687224102084,1637311.656200000084937,6061303.235299999825656,1637216.197082519531250,6061245.649108886718750
"18601",2696.817299567243481,112368824.000000000000000,"1018671",0.000000000000000,"0","19023","5",21.213203435600001,1.185114741330000,0.000000000000000,1643376.336700000101700,1643361.383600000059232,6052189.118400000035763,6052204.147599999792874,0.999413219211000,"1017048","29010",3.197611630050000,"0","0","19891","19892",21.200755935299998,21.200755935344453,"1","01",Northland Region,30084.25666220000,12500.31973910000,"415",Western North Island,"1457231",{FA1D5DC5-E5DF-4C1D-B636-BDCD9EC4AB7D},Western North Island,3273685.956958715338260,14572310124.708490371704102,"1060","5.04",Tutamoe,Western Northland,206261.569176885124762,-817197507.869342207908630,Waipoua River,"10",Waipoua River,NRC,6. Tidal river mouth,6B. Spit enclosed,6052356.440000000409782,1643231.351999999955297,52.000000000000000,6196.000000000000000,134637.000000000000000,22.000000000000000,3.000000000000000,428204.000000000000000,2.700000000000000,322823.000000000058208,114.000000000000000,346831.000000000058208,"1",211.907402921226463,1643361.383600000059232,6052189.118400000035763,1643231.352111816406250,6052356.440124510787427
